questions,model_answer,student_answer,teacher_marks,total_marks
What does the stem hold?,It holds branches and leaves.,Stem carry roots,1,5
How are water and minerals absorbed by the plant?,Through root hairs from soil.,"From mud, plant get water",2,5
What happens to water at the top of the plant?,It evaporates through pores in leaves.,Water go away from flower,1,5
What is the structure that connects roots to leaves?,Stem,Branch,1,5
What do the pores in leaves do?,Let water evaporate and gases exchange.,Pores are small dots on leaves,2,5
How is stem different from roots?,Stem grows above ground; roots grow below.,Root is long and stem is green,2,5
What happens during transpiration?,Water vapor leaves the plant through pores in leaves.,Water come out when sun is hot,3,5
How many types of rocks are there in the rock cycle?,There are three main types of rocks in the rock cycle.,Three,4,5
What are the three main types of rocks?,"The three main types of rocks are igneous, sedimentary, and metamorphic.","ignous, sedimantary and metomorfic",3,5
What is the rock cycle?,The rock cycle is a continuous process where rocks change from one type to another.,The rock cycle is when rocks changing into diffrent type continously,3,5
True or False: Rocks can only follow one path in the rock cycle.,False. Rocks can follow many different paths in the rock cycle.,False. They can go in many path.,4,5
What determines the type of rock a substance becomes?,"The conditions such as heat, pressure, and erosion determine the type of rock a substance becomes.","The heat, pressure and eroison it gets.",4,5
What process breaks down rocks without moving them?,Weathering is the process that breaks down rocks without moving them.,Whethering breaks the rocks,3,5
What process moves broken rock from one place to another?,Erosion is the process that moves broken rock from one place to another.,Erotion is when rocks move from place to place,4,5
What two processes help form sedimentary rock?,Weathering and erosion help form sedimentary rock.,Weathering and erosion help form sedimentary rock.,5,5
What two elements are needed to form metamorphic rock?,Heat and pressure are needed to form metamorphic rock.,Heat and pressure are needed to form metamorphic rock.,5,5
What causes igneous rocks to form?,Igneous rocks form when magma or lava cools and solidifies.,Igneous rocks form when magma or lava cools and solidifies.,5,5
What is magma called when it reaches the Earth's surface?,"When magma reaches the Earth's surface, it is called lava.","When magma reaches the Earth's surface, it is called lava.",5,5
What happens to magma as it moves toward the surface?,"As magma moves toward the surface, it cools and begins to solidify.","As magma moves toward the surface, it cools and begins to solidify.",5,5
What does the word 'igneous' mean?,The word 'igneous' means formed from fire or heat.,The word 'igneous' means formed from fire or heat.,5,5
What type of rock is formed from lava cooling quickly?,Extrusive igneous rock is formed from lava cooling quickly.,Extrusive igneous rock is formed from lava cooling quickly.,5,5
What is weathering?,Weathering is the process that breaks down rocks into smaller pieces without moving them.,Weathering is the process that breaks down rocks into smaller pieces without moving them.,5,5
What is erosion?,Erosion is the process of moving broken rock and soil from one place to another.,Erosion is the process of moving broken rock and soil from one place to another.,5,5
What are sediments?,"Sediments are small pieces of rock, minerals, or organic material that are carried and deposited by wind, water, or ice.","Sediments are small pieces of rock, minerals, or organic material that are carried and deposited by wind, water, or ice.",5,5
What is an example of a sedimentary rock that turns into marble?,Limestone is a sedimentary rock that turns into marble.,Limestone is a sedimentary rock that turns into marble.,5,5
What metamorphic rock forms from slate?,Schist is a metamorphic rock that forms from slate.,Schist is a metamorphic rock that forms from slate.,5,5
What does shale become under heat and pressure?,Shale becomes slate under heat and pressure.,Shale becomes slate under heat and pressure.,5,5
What sedimentary rock transforms into quartzite?,Sandstone transforms into quartzite.,Sandstone transforms into quartzite.,5,5
What is special about sedimentary rocks in terms of fossils?,Sedimentary rocks often contain fossils because they form in layers that trap remains of plants and animals.,Sedimentary rocks often contain fossils because they form in layers that trap remains of plants and animals.,5,5
How do sediments collect before forming sedimentary rocks?,"Sediments collect in layers, often at the bottom of rivers, lakes, or oceans.","Sediments collect in layers, often at the bottom of rivers, lakes, or oceans.",5,5
How is calcite involved in sedimentary rock formation?,Calcite helps cement sediments together to form sedimentary rocks.,Calcite helps cement sediments together to form sedimentary rocks.,5,5
What mineral can come from animal shells and bones?,Calcium can come from animal shells and bones.,Calcium can come from animal shells and bones.,5,5
Where does the heat to form metamorphic rock come from?,The heat comes from the Earth's interior.,The heat comes from the Earth's interior.,5,5
Where does the pressure to form metamorphic rock come from?,The pressure comes from the weight of overlying rocks and tectonic forces.,The pressure comes from the weight of overlying rocks and tectonic forces.,5,5
At what depth do metamorphic rocks begin to form?,Metamorphic rocks begin to form at depths greater than 10 kilometers.,Metamorphic rocks begin to form at depths greater than 10 kilometers.,5,5
What temperature range begins the transformation into metamorphic rock?,Metamorphic rocks begin to form at temperatures between 200'C and 800'C.,Metamorphic rocks begin to form at temperatures between 200'C and 800'C.,5,5
What happens to minerals when they are deeply buried in Earth?,"Minerals change shape, size, or arrangement when they are deeply buried due to heat and pressure.","Minerals change shape, size, or arrangement when they are deeply buried due to heat and pressure.",5,5
What role does gravity play in the movement of sediments during erosion?,"Gravity pulls sediments downhill or downstream, helping move them during erosion.","Gravity pulls sediments downhill or downstream, helping move them during erosion.",5,5
Why do you think pressure is important in the formation of sedimentary rocks?,"Pressure presses sediments together, helping them form solid rock over time.","Pressure presses sediments together, helping them form solid rock over time.",5,5
How is compaction different from cementation in sedimentary rock formation?,"Compaction presses sediments together, while cementation glues them using minerals.","Compaction presses sediments together, while cementation glues them using minerals.",5,5
What conditions would speed up the rock cycle process in nature?,"Conditions like volcanic activity, heavy rainfall, or earthquakes can speed up the rock cycle.","Conditions like volcanic activity, heavy rainfall, or earthquakes can speed up the rock cycle.",5,5
Describe how a metamorphic rock could eventually become a sedimentary rock.,"A metamorphic rock can be weathered into sediments, which are then compacted and cemented into a sedimentary rock.","A metamorphic rock can be weathered into sediments, which are then compacted and cemented into a sedimentary rock.",5,5
Why might a volcano be considered an essential part of the rock cycle?,"A volcano releases magma that cools to form igneous rocks, making it key in the rock cycle.","A volcano releases magma that cools to form igneous rocks, making it key in the rock cycle.",5,5
How is a rock's journey through the rock cycle an example of change over time?,A rock's journey shows how it changes form due to natural processes over time.,A rock's journey shows how it changes form due to natural processes over time.,5,5
What environmental changes could cause weathering to occur more quickly?,"Rain, wind, temperature changes, and pollution can cause faster weathering.","Rain, wind, temperature changes, and pollution can cause faster weathering.",5,5
